INFO 2026-08-09 14:39:52,498 experiment Selecting 1 floating point operations for 20 variants
INFO 2026-08-09 14:39:52,501 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-09 14:39:52,507 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-09 14:39:52,512 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-09 14:39:52,518 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-09 14:39:52,523 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-09 14:39:52,529 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-09 14:40:17,630 experiment Starting generator
INFO 2026-08-09 14:40:17,632 experiment Total graph nodes = 5
INFO 2026-08-09 14:40:17,632 experiment Total graph edges = 2
INFO 2026-08-09 14:40:17,632 experiment Eligible FLOPs = 5
INFO 2026-08-09 14:40:17,632 experiment Found 5 eligible fp64 floating point operations
INFO 2026-08-09 14:40:17,633 experiment Selecting 0 floating point operations for 20 variants
INFO 2026-08-09 14:40:17,640 experiment Selecting 1 floating point operations for 20 variants
INFO 2026-08-09 14:40:17,643 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-09 14:40:17,648 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-09 14:40:17,653 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-09 14:40:17,659 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-09 14:40:17,664 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-09 14:40:17,670 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-09 14:42:58,192 experiment Starting generator
INFO 2026-08-09 14:42:58,193 experiment Total graph nodes = 5
INFO 2026-08-09 14:42:58,193 experiment Total graph edges = 2
INFO 2026-08-09 14:42:58,193 experiment Eligible FLOPs = 5
INFO 2026-08-09 14:42:58,193 experiment Found 5 eligible fp64 floating point operations
INFO 2026-08-09 14:42:58,194 experiment Selecting 0 floating point operations for 20 variants
INFO 2026-08-09 14:42:58,201 experiment Selecting 1 floating point operations for 20 variants
INFO 2026-08-09 14:42:58,204 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-09 14:42:58,209 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-09 14:42:58,214 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-09 14:42:58,220 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-09 14:42:58,225 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-09 14:42:58,231 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-10 20:05:37,005 experiment Starting generator
INFO 2026-08-10 20:05:37,006 experiment Total graph nodes = 5
INFO 2026-08-10 20:05:37,007 experiment Total graph edges = 2
INFO 2026-08-10 20:05:37,007 experiment Eligible FLOPs = 5
INFO 2026-08-10 20:05:37,007 experiment Found 5 eligible fp64 floating point operations
INFO 2026-08-10 20:05:37,008 experiment Selecting 0 floating point operations for 20 variants
INFO 2026-08-10 20:05:37,031 experiment Selecting 1 floating point operations for 20 variants
INFO 2026-08-10 20:05:37,039 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-10 20:05:37,053 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-10 20:05:37,070 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-10 20:05:37,086 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-10 20:05:37,104 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-10 20:05:37,123 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-10 21:14:30,926 experiment Starting generator
INFO 2026-08-10 21:14:30,928 experiment Total graph nodes = 5
INFO 2026-08-10 21:14:30,928 experiment Total graph edges = 2
INFO 2026-08-10 21:14:30,928 experiment Eligible FLOPs = 5
INFO 2026-08-10 21:14:30,928 experiment Found 5 eligible fp64 floating point operations
INFO 2026-08-10 21:14:30,929 experiment Selecting 0 floating point operations for 20 variants
INFO 2026-08-10 21:14:30,945 experiment Selecting 1 floating point operations for 20 variants
INFO 2026-08-10 21:14:30,955 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-10 21:14:30,967 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-10 21:14:30,977 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-10 21:14:30,990 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-10 21:14:31,002 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-10 21:14:31,010 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-11 15:51:06,569 experiment Starting generator
INFO 2026-08-11 15:51:06,571 experiment Total graph nodes = 5
INFO 2026-08-11 15:51:06,571 experiment Total graph edges = 2
INFO 2026-08-11 15:51:06,571 experiment Eligible FLOPs = 5
INFO 2026-08-11 15:51:06,571 experiment Found 5 eligible fp64 floating point operations
INFO 2026-08-11 15:51:06,572 experiment Selecting 0 floating point operations for 20 variants
INFO 2026-08-11 15:51:06,587 experiment Selecting 1 floating point operations for 20 variants
INFO 2026-08-11 15:51:06,591 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-11 15:51:06,596 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-11 15:51:06,600 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-11 15:51:06,607 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-11 15:51:06,613 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-11 15:51:06,617 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-11 15:51:27,177 experiment Starting generator
INFO 2026-08-11 15:51:27,178 experiment Total graph nodes = 5
INFO 2026-08-11 15:51:27,178 experiment Total graph edges = 2
INFO 2026-08-11 15:51:27,178 experiment Eligible FLOPs = 5
INFO 2026-08-11 15:51:27,178 experiment Found 5 eligible fp64 floating point operations
INFO 2026-08-11 15:51:27,179 experiment Selecting 0 floating point operations for 20 variants
INFO 2026-08-11 15:51:27,189 experiment Selecting 1 floating point operations for 20 variants
INFO 2026-08-11 15:51:27,193 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-11 15:51:27,196 experiment Selecting 2 floating point operations for 20 variants
INFO 2026-08-11 15:51:27,200 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-11 15:51:27,205 experiment Selecting 3 floating point operations for 20 variants
INFO 2026-08-11 15:51:27,210 experiment Selecting 4 floating point operations for 20 variants
INFO 2026-08-11 15:51:27,215 experiment Selecting 4 floating point operations for 20 variants
